               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.017211,           0.0083621,                   0,             0.98939,             0.99327,             0.99281,             0.92767,           0.0094694,           0.0025235,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.016859,           0.0081542,                   0,             0.98741,             0.99369,             0.99288,             0.92917,           0.0093476,            0.002511,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.016666,           0.0081699,                   0,             0.98742,             0.99053,             0.99281,             0.92761,           0.0093648,           0.0025061,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.017088,           0.0084059,                   0,             0.98783,             0.99311,             0.99279,             0.92476,           0.0094368,           0.0025029,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.016793,           0.0079822,                   0,             0.98668,             0.99355,             0.99309,             0.92584,           0.0094462,             0.00251,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.017081,           0.0083457,                   0,             0.98778,             0.99408,             0.99301,             0.92611,           0.0094662,           0.0025171,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.017048,           0.0080497,                   0,             0.98708,              0.9946,             0.99289,             0.92801,           0.0093268,           0.0024958,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,             0.01676,            0.007873,                   0,             0.98947,             0.99448,             0.99298,             0.92851,           0.0093402,           0.0024927,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.016821,           0.0081022,                   0,             0.98901,             0.99566,               0.993,             0.92655,           0.0094078,           0.0024977,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.017388,           0.0081376,                   0,             0.98851,             0.99448,             0.99297,             0.92478,           0.0094753,           0.0025029,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.017348,           0.0083468,                   0,             0.98746,              0.9943,             0.99298,             0.92634,            0.009357,           0.0024974,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.016696,           0.0082676,                   0,             0.98823,             0.99408,             0.99295,             0.92815,           0.0092794,           0.0024858,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.016857,            0.008149,                   0,             0.98852,             0.99408,               0.993,             0.92977,           0.0092351,           0.0024842,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.016573,            0.008082,                   0,             0.98818,             0.99448,               0.993,             0.92975,           0.0092123,           0.0024851,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.016795,           0.0082127,                   0,             0.98798,             0.99369,             0.99299,             0.93194,           0.0090651,           0.0024606,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.016307,           0.0082542,                   0,             0.98776,             0.99211,             0.99297,             0.93011,           0.0091843,           0.0024684,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.016365,           0.0078531,                   0,             0.98556,             0.99448,              0.9929,             0.93002,           0.0092686,           0.0024717,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.016639,           0.0078023,                   0,             0.98821,             0.99247,              0.9928,             0.92967,           0.0093283,           0.0024724,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.016988,           0.0081956,                   0,             0.98668,             0.99392,             0.99275,             0.92835,           0.0093697,           0.0024744,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.016422,           0.0080399,                   0,             0.98785,             0.99436,             0.99275,             0.92833,           0.0093398,           0.0024637,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.016242,           0.0077992,                   0,             0.98753,             0.99448,             0.99266,             0.92829,           0.0093438,           0.0024595,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.016861,           0.0078989,                   0,             0.98723,             0.99487,             0.99268,             0.92898,           0.0092854,           0.0024504,                   0,           0.0076042,           0.0076042,           0.0076042
